aaLL	aa ll 
s0xxLLk0iilloouuMMk0wa	s0 xx ll k0 ii ll oo uu mm k0 wa 
s0xxLLk0iilloouuMMxxNN	s0 xx ll k0 ii ll oo uu mm xx nn 
s0xxLLk0iilloouuNN	s0 xx ll k0 ii ll oo uu nn 
s0xxLLk0iilloowvc0iik0vvllaa	s0 xx ll k0 ii ll oo wv c0 ii k0 vv ll aa 
s0xxLLphxxNN	s0 xx ll ph xx nn 
s0xxchyv	s0 xx ch yv 
s0xxmmyvt0xxnniikkaa	s0 xx mm yv t0 xx nn ii kk aa 
s0xxs0xxlloo	s0 xx s0 xx ll oo 
s0xxs0xxllooxi	s0 xx s0 xx ll oo xi 
s0xxwethvv	s0 xx we th vv 
ssaaHHaa	ss aa aa 
ssaak0ee	ss aa k0 ee 
ssaayv	ss aa yv 
ssiiP0k0iit0oo	ss ii p0 kk ii t0 oo 
ssiiS0k0oo	ss ii t0 k0 oo 
ssiiS0k0oo	ss ii t0 kk oo 
ssiillxxMMeet0oo	ss ii ll xx mm ee t0 oo 
ssiillxxMMt0oo	ss ii ll xx mm t0 oo 
ssuuK0ii	ss uu k0 ii 
ssuuK0xxLL	ss uu k0 xx ll 
ssvvt0oo	ss vv t0 oo 
ssvvya	ss vv ya 
ssxxNNt0aa	ss xx nn t0 aa 
ssxxllvvc0iinnxxNN	ss xx ll vv c0 ii nn xx nn 
t0aa	t0 aa 
t0aaKKaa	t0 aa kk aa 
t0aaLLk0oo	t0 aa ll k0 oo 
t0aaLLllaak0oo	t0 aa ll ll aa k0 oo 
t0aaLLllaak0oohheet0oo	t0 aa ll ll aa k0 oo hh ee t0 oo 
t0aaLLllaak0oommaaNN	t0 aa ll ll aa k0 oo mm aa nn 
t0aaLLllaas0vv	t0 aa ll ll aa s0 vv 
t0aaLLllii	t0 aa ll ll ii 
t0aaLLlliiNNt0aa	t0 aa ll ll ii nn t0 aa 
t0aaLLlliik0ii	t0 aa ll ll ii k0 ii 
t0aaLLllyvSSt0aa	t0 aa ll ll yv t0 t0 aa 
t0aaLLllyvSSt0aa	t0 aa ll ll yv t0 tt aa 
t0aaMMaa	t0 aa mm aa 
t0aaMMp0eellxxLL	t0 aa mm p0 ee ll xx ll 
t0aaNNp0aaLLmmvvlliillxxLL	t0 aa nn p0 aa ll mm vv ll ii ll xx ll 
t0aaNNphuungk0wa	t0 aa nn ph uu ng k0 wa 
t0aachiik0ii	t0 aa ch ii k0 ii 
t0aahheengiivvSSt0aa	t0 aa hh ee ng ii vv t0 t0 aa 
t0aahheengiivvSSt0aa	t0 aa hh ee ng ii vv t0 tt aa 
t0aak0aaook0iit0oo	t0 aa k0 aa oo k0 ii t0 oo 
t0aalliimmyvNN	t0 aa ll ii mm yv nn 
t0aallxxLL	t0 aa ll xx ll 
t0aallxxNN	t0 aa ll xx nn 
t0aallxxt0aa	t0 aa ll xx t0 aa 
t0aangmmyvNNhhaaNN	t0 aa ng mm yv nn hh aa nn 
t0aangs0ii	t0 aa ng s0 ii 
t0aas0ii	t0 aa s0 ii 
t0aas0vvS0	t0 aa s0 vv s0 
t0aas0xxlliiLL	t0 aa s0 xx ll ii ll 
t0aat0xxMMiiS0s0aaLLii	t0 aa t0 xx mm ii t0 s0 aa ll ii 
t0aat0xxMMiiS0s0aaLLii	t0 aa t0 xx mm ii t0 ss aa ll ii 
t0aat0xxMMiic0iiLLhhaaLL	t0 aa t0 xx mm ii c0 ii ll hh aa ll 
t0aaxxMM	t0 aa xx mm 
t0aayanghhaat0aa	t0 aa ya ng hh aa t0 aa 
t0ee	t0 ee 
t0eeccooK0ii	t0 ee cc oo k0 ii 
t0eehhaaNN	t0 ee hh aa nn 
t0eehhees0vv	t0 ee hh ee s0 vv 
t0eehhwachiik0oonnxxNN	t0 ee hh wa ch ii k0 oo nn xx nn 
t0eek0aa	t0 ee k0 aa 
t0eek0oo	t0 ee k0 oo 
t0eekkuuk0aa	t0 ee kk uu k0 aa 
t0eelloo	t0 ee ll oo 
t0eellxxLL	t0 ee ll xx ll 
t0eemmaaNN	t0 ee mm aa nn 
t0eep0iis0iikhyv	t0 ee p0 ii s0 ii kh yv 
t0ees0iiNN	t0 ee s0 ii nn 
t0ees0iiNNhhee	t0 ee s0 ii nn hh ee 
t0ees0vv	t0 ee s0 vv 
t0eet0aaNNhhii	t0 ee t0 aa nn hh ii 
t0eet0aaP0iit0aa	t0 ee t0 aa p0 ii t0 aa 
t0eeyvs0vvS0ii	t0 ee yv s0 vv s0 ii 
t0iit0iiMMt0ooLLxxLL	t0 ii t0 ii mm t0 oo ll xx ll 
t0ooK0c0aannxxNN	t0 oo k0 cc aa nn xx nn 
t0ooLLaak0aaLL	t0 oo ll aa k0 aa ll 
t0ooLLaak0aak0oo	t0 oo ll aa k0 aa k0 oo 
t0ooLLaaoonnxxNN	t0 oo ll aa oo nn xx nn 
t0ooLLaas0vvSSt0aa	t0 oo ll aa s0 vv t0 t0 aa 
t0ooLLaas0vvSSt0aa	t0 oo ll aa s0 vv t0 tt aa 
t0ooLLaas0vvmmyv	t0 oo ll aa s0 vv mm yv 
t0ooLLaat0aap0oonnii	t0 oo ll aa t0 aa p0 oo nn ii 
t0ooLLllee	t0 oo ll ll ee 
t0ooLLlleellaannxxNN	t0 oo ll ll ee ll aa nn xx nn 
t0ooLLllyv	t0 oo ll ll yv 
t0ooLLmmuut0vvk0ii	t0 oo ll mm uu t0 vv k0 ii 
t0ooT0aaSSk0oo	t0 oo t0 aa t0 k0 oo 
t0ooT0aaSSk0oo	t0 oo t0 aa t0 kk oo 
t0ooT0aannaak0ii	t0 oo t0 aa nn aa k0 ii 
t0oollees0ooLLee	t0 oo ll ee s0 oo ll ee 
t0oongaaNN	t0 oo ng aa nn 
t0oonghhyvK0xi	t0 oo ng hh yv k0 xi 
t0oongs0iiee	t0 oo ng s0 ii ee 
t0oongs0vvlloo	t0 oo ng s0 vv ll oo 
t0oongt0eemmuuNN	t0 oo ng t0 ee mm uu nn 
t0oongt0eemmuuNNees0vv	t0 oo ng t0 ee mm uu nn ee s0 vv 
t0oongt0eemmuuNNxi	t0 oo ng t0 ee mm uu nn xi 
t0oowa	t0 oo wa 
t0uu	t0 uu 
t0uuK0	t0 uu k0 
t0uuK0ee	t0 uu k0 ee 
t0uuLLlleeeennxxNN	t0 uu ll ll ee ee nn xx nn 
t0uuLLllyv	t0 uu ll ll yv 
t0uuk0oo	t0 uu k0 oo 
t0uullvvngeennxxNN	t0 uu ll vv ng ee nn xx nn 
t0uullvvngxxlloommaaNN	t0 uu ll vv ng xx ll oo mm aa nn 
t0uummyvNN	t0 uu mm yv nn 
t0uungk0xxLLk0oo	t0 uu ng k0 xx ll k0 oo 
t0uunnxxNN	t0 uu nn xx nn 
t0uut0xxllvvc0iiNNt0aa	t0 uu t0 xx ll vv c0 ii nn t0 aa 
t0uuvvMM	t0 uu vv mm 
t0vv	t0 vv 
t0vvLLhheec0iiNN	t0 vv ll hh ee c0 ii nn 
t0vvNNc0iiLL	t0 vv nn c0 ii ll 
t0vvNNc0iiNN	t0 vv nn c0 ii nn 
t0vvngk0uuLLt0xxLLii	t0 vv ng k0 uu ll t0 xx ll ii 
t0we	t0 we 
t0weLL	t0 we ll 
t0weNNt0aa	t0 we nn t0 aa 
t0weSSnnxxNNt0ee	t0 we t0 nn xx nn t0 ee 
t0weSSnnxxNNt0ee	t0 we nn nn xx nn t0 ee 
t0weSSt0aak0oo	t0 we t0 t0 aa k0 oo 
t0weSSt0aak0oo	t0 we t0 tt aa k0 oo 
t0weSSxxnnii	t0 we ss xx nn ii 
t0wec0ii	t0 we c0 ii 
t0wek0eeSSnnii	t0 we k0 ee t0 nn ii 
t0wek0eeSSnnii	t0 we k0 ee nn nn ii 
t0wek0iikkaac0ii	t0 we k0 ii kk aa c0 ii 
t0wek0iinnxxNN	t0 we k0 ii nn xx nn 
t0wek0oo	t0 we k0 oo 
t0wellaak0oo	t0 we ll aa k0 oo 
t0wennaa	t0 we nn aa 
t0wes0vv	t0 we s0 vv 
t0wet0oollooK0	t0 we t0 oo ll oo k0 
t0wevv	t0 we vv 
t0wevvs0vvt0oo	t0 we vv s0 vv t0 oo 
t0wic0iik0oo	t0 wi c0 ii k0 oo 
t0wiee	t0 wi ee 
t0wieennxxNN	t0 wi ee nn xx nn 
t0willxxLL	t0 wi ll xx ll 
t0wip0aakkwic0ii	t0 wi p0 aa kk wi c0 ii 
t0wittaallaaoonnxxNN	t0 wi tt aa ll aa oo nn xx nn 
t0xxLLk0iiLLxxLL	t0 xx ll k0 ii ll xx ll 
t0xxLLk0oo	t0 xx ll k0 oo 
t0xxLLlloo	t0 xx ll ll oo 
t0xxLLllxxNN	t0 xx ll ll xx nn 
t0xxLLmmyv	t0 xx ll mm yv 
t0xxLLp0uuLLnnooLLiillaak0oo	t0 xx ll p0 uu ll nn oo ll ii ll aa k0 oo 
t0xxLLp0uuLLnnooLLiillaak0oo	t0 xx ll p0 uu ll ll oo ll ii ll aa k0 oo 
t0xxLLp0uuLLnnooLLiillxxLL	t0 xx ll p0 uu ll nn oo ll ii ll xx ll 
t0xxLLp0uuLLnnooLLiillxxLL	t0 xx ll p0 uu ll ll oo ll ii ll xx ll 
t0xxLLp0uuLLnnooLLiimmaaNNkhxxMM	t0 xx ll p0 uu ll nn oo ll ii mm aa nn kh xx mm 
t0xxLLp0uuLLnnooLLiimmaaNNkhxxMM	t0 xx ll p0 uu ll ll oo ll ii mm aa nn kh xx mm 
t0xxLLt0oo	t0 xx ll t0 oo 
t0xxLLvv	t0 xx ll vv 
t0xxLLvvSSt0aa	t0 xx ll vv t0 t0 aa 
t0xxLLvvSSt0aa	t0 xx ll vv t0 tt aa 
t0xxLLvvSSvv	t0 xx ll vv ss vv 
t0xxLLvvk0aa	t0 xx ll vv k0 aa 
t0xxLLvvk0aannxxNN	t0 xx ll vv k0 aa nn xx nn 
t0xxLLvvs0vvSSt0aa	t0 xx ll vv s0 vv t0 t0 aa 
t0xxLLvvs0vvSSt0aa	t0 xx ll vv s0 vv t0 tt aa 
t0xxLLxxNN	t0 xx ll xx nn 
t0xxLLyvt0aap0ooNNt0aa	t0 xx ll yv t0 aa p0 oo nn t0 aa 
t0xxS0	t0 xx s0 
t0xxS0hhaak0ee	t0 xx s0 hh aa k0 ee 
t0xxS0ii	t0 xx s0 ii 
t0xxT0k0oo	t0 xx t0 kk oo 
t0xxT0t0aa	t0 xx t0 tt aa 
t0xxllvvnnaak0ii	t0 xx ll vv nn aa k0 ii 
t0xxllvvnneeSSt0aannxxNN	t0 xx ll vv nn ee t0 t0 aa nn xx nn 
t0xxllvvnneeSSt0aannxxNN	t0 xx ll vv nn ee t0 tt aa nn xx nn 
t0xxllvvnneek0ee	t0 xx ll vv nn ee k0 ee 
t0xxllvvnneek0oo	t0 xx ll vv nn ee k0 oo 
t0xxllvvnneellyvnnxxNN	t0 xx ll vv nn ee ll yv nn xx nn 
t0xxng	t0 xx ng 
t0xxngii	t0 xx ng ii 
t0xxngs0vvngiilloonnxxNN	t0 xx ng s0 vv ng ii ll oo nn xx nn 
thaa	th aa 
thaaNN	th aa nn 
theet0oollxxLL	th ee t0 oo ll xx ll 
theeyvNNhhii	th ee yv nn hh ii 
theeyvNNs0xxllvvP0k0ee	th ee yv nn s0 xx ll vv p0 kk ee 
thoong	th oo ng 
thoonghhaaP0c0vvK0xxlloo	th oo ng hh aa p0 c0 vv k0 xx ll oo 
thoonghhaaP0c0vvK0xxlloo	th oo ng hh aa p0 cc vv k0 xx ll oo 
thoonghhee	th oo ng hh ee 
thooyoiiLLiivvSSt0aa	th oo yo ii ll ii vv t0 t0 aa 
thooyoiiLLiivvSSt0aa	th oo yo ii ll ii vv t0 tt aa 
thuummyvnghhaaNN	th uu mm yv ng hh aa nn 
thuungmmyvngs0xxllvvNN	th uu ng mm yv ng s0 xx ll vv nn 
thuus0iiNNhheeSSt0aa	th uu s0 ii nn hh ee t0 t0 aa 
thuus0iiNNhheeSSt0aa	th uu s0 ii nn hh ee t0 tt aa 
thvvK0ii	th vv k0 ii 
thvvLLii	th vv ll ii 
thvvee	th vv ee 
thwechiillxxLL	th we ch ii ll xx ll 
thwivvnnaaooLL	th wi vv nn aa oo ll 
ttaallaa	tt aa ll aa 
ttaallaas0vv	tt aa ll aa s0 vv 
ttaallxxk0oo	tt aa ll xx k0 oo 
ttaawilloo	tt aa wi ll oo 
ttee	tt ee 
tteeS0mmuuLLii	tt ee t0 mm uu ll ii 
tteeS0mmuuLLii	tt ee nn mm uu ll ii 
tteeeennxxNN	tt ee ee nn xx nn 
tteelloonnxxNN	tt ee ll oo nn xx nn 
tteemmaaNN	tt ee mm aa nn 
tteemmuuNNee	tt ee mm uu nn ee 
tteemmuuNNiit0aa	tt ee mm uu nn ii t0 aa 
tteemmuuNNiivvSSt0aa	tt ee mm uu nn ii vv t0 t0 aa 
tteemmuuNNiivvSSt0aa	tt ee mm uu nn ii vv t0 tt aa 
tteemmuuNNiiya	tt ee mm uu nn ii ya 
tteet0aa	tt ee t0 aa 
ttoo	tt oo 
ttoohhaaNN	tt oo hh aa nn 
ttvvLLk0uuvvSSt0aa	tt vv ll k0 uu vv t0 t0 aa 
ttvvLLk0uuvvSSt0aa	tt vv ll k0 uu vv t0 tt aa 
ttvvLLvvc0iic0ii	tt vv ll vv c0 ii c0 ii 
ttvvLLvvc0iik0ii	tt vv ll vv c0 ii k0 ii 
ttvvLLvvc0iimmyvNN	tt vv ll vv c0 ii mm yv nn 
ttvvnnxxNN	tt vv nn xx nn 
ttvvt0xxLLvvt0eet0vvk0uunnaa	tt vv t0 xx ll vv t0 ee t0 vv k0 uu nn aa 
ttwichyv	tt wi ch yv 
ttwichyvnnaak0aallyvk0oo	tt wi ch yv nn aa k0 aa ll yv k0 oo 
ttwivv	tt wi vv 
ttwivvnnvvMMvv	tt wi vv nn vv mm vv 
ttxivvMMttxivvMM	tt xi vv mm tt xi vv mm 
ttxxS0hhaaNNt0aa	tt xx s0 hh aa nn t0 aa 
ttxxS0xxLL	tt xx s0 xx ll 
ttxxT0k0iik0iillxxLL	tt xx t0 kk ii k0 ii ll xx ll 
ttxxT0nnxxNN	tt xx nn nn xx nn 
ttxxT0vv	tt xx t0 vv 
ttxxk0vvuuNN	tt xx k0 vv uu nn 
uuLLk0iit0oo	uu ll k0 ii t0 oo 
uuLLmmyvNN	uu ll mm yv nn 
uuLLthaalliieennxxNN	uu ll th aa ll ii ee nn xx nn 
uuLLvvt0eek0oo	uu ll vv t0 ee k0 oo 
uuLLxxMMk0wa	uu ll xx mm k0 wa 
uuMMc0iiK0yvSSt0aa	uu mm c0 ii k0 yv t0 t0 aa 
uuMMc0iiK0yvSSt0aa	uu mm c0 ii k0 yv t0 tt aa 
uuMMchxxlliik0oo	uu mm ch xx ll ii k0 oo 
uuMMkhiiNNt0aa	uu mm kh ii nn t0 aa 
uuMMkhiivvSSt0aa	uu mm kh ii vv t0 t0 aa 
uuMMkhiivvSSt0aa	uu mm kh ii vv t0 tt aa 
uuMMkhxxMM	uu mm kh xx mm 
uuMMkhyv	uu mm kh yv 
uuNNt0oongee	uu nn t0 oo ng ee 
uuNNt0oongii	uu nn t0 oo ng ii 
uuNNt0oongxxLL	uu nn t0 oo ng xx ll 
uullii	uu ll ii 
uulliieek0ee	uu ll ii ee k0 ee 
uulliiiiNNt0ee	uu ll ii ii nn t0 ee 
uulliik0aa	uu ll ii k0 aa 
uulliimmaaLLk0oot0oo	uu ll ii mm aa ll k0 oo t0 oo 
uulliit0xxLLii	uu ll ii t0 xx ll ii 
uulliit0xxLLxi	uu ll ii t0 xx ll xi 
uulliit0xxLLxxNN	uu ll ii t0 xx ll xx nn 
uulliixi	uu ll ii xi 
uut0eelloo	uu t0 ee ll oo 
uuyvNNhhaak0ee	uu yv nn hh aa k0 ee 
vvLLK0hhyvSSc0iimmaaNN	vv ll k0 hh yv t0 c0 ii mm aa nn 
vvLLK0hhyvSSc0iimmaaNN	vv ll kh yv t0 c0 ii mm aa nn 
vvLLK0hhyvSSc0iimmaaNN	vv ll kh yv t0 cc ii mm aa nn 
vvLLii	vv ll ii 
vvLLk0uuLL	vv ll k0 uu ll 
vvLLk0uuLLii	vv ll k0 uu ll ii 
vvLLk0uuLLiillaaNN	vv ll k0 uu ll ii ll aa nn 
vvLLk0uuLLiillaat0oo	vv ll k0 uu ll ii ll aa t0 oo 
vvLLk0uuLLxxLL	vv ll k0 uu ll xx ll 
vvLLk0uuLLxxNN	vv ll k0 uu ll xx nn 
vvLLlluuK0vvLLlluuK0	vv ll ll uu k0 vv ll ll uu k0 
vvLLllxxNN	vv ll ll xx nn 
vvLLmmaa	vv ll mm aa 
vvLLmmaannaa	vv ll mm aa nn aa 
vvLLmmaaxi	vv ll mm aa xi 
vvLLxi	vv ll xi 
vvLLxxLL	vv ll xx ll 
vvNNc0eennaa	vv nn c0 ee nn aa 
vvNNt0vvK0iinnaa	vv nn t0 vv k0 ii nn aa 
vvNNvv	vv nn vv 
vvNNvvlloo	vv nn vv ll oo 
vvNNvvllxxLL	vv nn vv ll xx ll 
vvP0S0ii	vv p0 s0 ii 
vvP0S0ii	vv p0 ss ii 
vvP0S0k0oo	vv p0 kk oo 
vvP0S0nnxxNN	vv p0 nn xx nn 
vvP0S0nnxxNN	vv mm nn xx nn 
vvP0S0nnxxnnyak0oo	vv p0 nn xx nn ya k0 oo 
vvP0S0nnxxnnyak0oo	vv mm nn xx nn ya k0 oo 
vvP0S0t0aa	vv p0 tt aa 
vvP0S0t0aanniikkaa	vv p0 tt aa nn ii kk aa 
vvP0S0vv	vv p0 s0 vv 
vvP0S0vv	vv p0 ss vv 
vvP0S0vvSSt0aa	vv p0 s0 vv t0 t0 aa 
vvP0S0vvSSt0aa	vv p0 ss vv t0 tt aa 
vvP0S0vvc0iiLL	vv p0 s0 vv c0 ii ll 
vvP0S0vvc0iiLL	vv p0 ss vv c0 ii ll 
vvP0S0vvt0oo	vv p0 s0 vv t0 oo 
vvP0S0vvt0oo	vv p0 ss vv t0 oo 
vvP0S0xxLL	vv p0 s0 xx ll 
vvP0S0xxLL	vv p0 ss xx ll 
vvT0vvc0iinnxxNN	vv t0 vv c0 ii nn xx nn 
vvc0eechvvllvvMM	vv c0 ee ch vv ll vv mm 
vvc0eekkaac0iinnxxNN	vv c0 ee kk aa c0 ii nn xx nn 
vvc0iiLLk0oo	vv c0 ii ll k0 oo 
vvccees0vv	vv cc ee s0 vv 
vvcciit0oo	vv cc ii t0 oo 
vvchaaphii	vv ch aa ph ii 
vvlliiNNaaiit0xxLLeek0eet0oo	vv ll ii nn aa ii t0 xx ll ee k0 ee t0 oo 
vvllyvP0t0aannxxNN	vv ll yv p0 tt aa nn xx nn 
vvllyvuuNN	vv ll yv uu nn 
vvmmiis0ook0aa	vv mm ii s0 oo k0 aa 
vvmmiis0oommyvNN	vv mm ii s0 oo mm yv nn 
vvmmiis0oonnxxNN	vv mm ii s0 oo nn xx nn 
vvnnxx	vv nn xx 
vvs0xxLLllvvngvvs0xxLLllvvng	vv s0 xx ll ll vv ng vv s0 xx ll ll vv ng 
vvt0iiNNc0ii	vv t0 ii nn c0 ii 
vvt0iiNNk0aa	vv t0 ii nn k0 aa 
vvt0iillxxLL	vv t0 ii ll xx ll 
vvt0iis0vvNNk0aa	vv t0 ii s0 vv nn k0 aa 
vvt0uuuuNN	vv t0 uu uu nn 
vvttvvHHk0ee	vv tt vv kh ee 
vvttvvNN	vv tt vv nn 
waSSk0ii	wa t0 k0 ii 
waSSk0ii	wa t0 kk ii 
waSSt0aa	wa t0 t0 aa 
waSSt0aa	wa t0 tt aa 
wangk0eemmiillxxLL	wa ng k0 ee mm ii ll xx ll 
was0vv	wa s0 vv 
wek0ooc0iiP0iis0ii	we k0 oo c0 ii p0 ii s0 ii 
wes0uuNNxxLL	we s0 uu nn xx ll 
wiS0t0oolliillxxLL	wi t0 t0 oo ll ii ll xx ll 
wiS0t0oolliillxxLL	wi t0 tt oo ll ii ll xx ll 
wihhaaNN	wi hh aa nn 
wihhee	wi hh ee 
willoo	wi ll oo 
wvNNt0uummaaK0	wv nn t0 uu mm aa k0 
wvNNt0uummaaK0ii	wv nn t0 uu mm aa k0 ii 
xic0iillxxLL	xi c0 ii ll xx ll 
xic0vvngp0uuee	xi c0 vv ng p0 uu ee 
xihhee	xi hh ee 
xihhees0vv	xi hh ee s0 vv 
ximmiiees0vv	xi mm ii ee s0 vv 
xis0iiMMt0oo	xi s0 ii mm t0 oo 
xxllee	xx ll ee 
yaK0c0eemmaaNN	ya k0 cc ee mm aa nn 
yaK0k0aaNN	ya k0 kk aa nn 
yaK0s0ooK0iinnaa	ya k0 s0 oo k0 ii nn aa 
yaK0s0ooK0iinnaa	ya k0 ss oo k0 ii nn aa 
yahhaaK0xxLL	ya hh aa k0 xx ll 
yang	ya ng 
yangc0iiccooK0ee	ya ng c0 ii cc oo k0 ee 
yangs0aangxxLL	ya ng s0 aa ng xx ll 
yap0iihhaaNN	ya p0 ii hh aa nn 
yat0aaNNiit0aa	ya t0 aa nn ii t0 aa 
ye	ye 
yeS0nnaaLL	ye t0 nn aa ll 
yeS0nnaaLL	ye nn nn aa ll 
yeS0nnaaLLeennxxNN	ye t0 nn aa ll ee nn xx nn 
yeS0nnaaLLeennxxNN	ye nn nn aa ll ee nn xx nn 
yeS0nnaaLLp0uuthvv	ye t0 nn aa ll p0 uu th vv 
yeS0nnaaLLp0uuthvv	ye nn nn aa ll p0 uu th vv 
yec0vvNNeennxxNN	ye c0 vv nn ee nn xx nn 
yeppxxNN	ye pp xx nn 
yeppxxk0ee	ye pp xx k0 ee 
yes0uuLLxi	ye s0 uu ll xi 
yoK0c0iik0vvlliillxxLL	yo k0 cc ii k0 vv ll ii ll xx ll 
yohheeng	yo hh ee ng 
yollvvHHk0ee	yo ll vv kh ee 
yos0aaii	yo s0 aa ii 
yuK0iioo	yu k0 ii oo 
yuNN	yu nn 
yunnaaNNhhii	yu nn aa nn hh ii 
yunnaaNNhhiit0oo	yu nn aa nn hh ii t0 oo 
yut0ooK0	yu t0 oo k0 
yvK0s0aac0vvK0iiNN	yv k0 s0 aa c0 vv k0 ii nn 
yvK0s0aac0vvK0iiNN	yv k0 ss aa c0 vv k0 ii nn 
yvK0s0aawa	yv k0 ss aa wa 
yvK0s0aaxi	yv k0 ss aa xi 
yvLL	yv ll 
yvLLc0uunghheeSSt0aa	yv ll c0 uu ng hh ee t0 t0 aa 
yvLLc0uunghheeSSt0aa	yv ll c0 uu ng hh ee t0 tt aa 
yvLLs0iiMMhhii	yv ll s0 ii mm hh ii 
yvNNk0iik0aa	yv nn k0 ii k0 aa 
yvNNk0iillxxLL	yv nn k0 ii ll xx ll 
yvNNk0waNNs0vvngii	yv nn k0 wa nn s0 vv ng ii 
yvNNk0yvLLt0wet0oollooK0	yv nn k0 yv ll t0 we t0 oo ll oo k0 
yvPH	yv ph 
yvS0p0ooLL	yv t0 p0 oo ll 
yvS0p0ooLL	yv t0 pp oo ll 
yvS0p0ook0oo	yv t0 p0 oo k0 oo 
yvS0p0ook0oo	yv t0 pp oo k0 oo 
yvhhaaK0s0eeng	yv hh aa k0 ss ee ng 
yvk0iic0vvk0ii	yv k0 ii c0 vv k0 ii 
yvk0iiees0vv	yv k0 ii ee s0 vv 
yvk0iikkaac0iinnxxNN	yv k0 ii kk aa c0 ii nn xx nn 
yvk0iis0vv	yv k0 ii s0 vv 
yvllvv	yv ll vv 
yvllxxMMxxNN	yv ll xx mm xx nn 
yvng	yv ng 
yvnghhooNNxi	yv ng hh oo nn xi 
yvnghhwat0oo	yv ng hh wa t0 oo 
yvngk0aaMMii	yv ng k0 aa mm ii 
yvngk0aaMMiillaak0oo	yv ng k0 aa mm ii ll aa k0 oo 
yvngk0aaMMxxNN	yv ng k0 aa mm xx nn 
yvngwvNNhhaaNN	yv ng wv nn hh aa nn 
yvs0iiLLhhaak0ee	yv s0 ii ll hh aa k0 ee 
yvs0vvngt0xxLLt0oo	yv s0 vv ng t0 xx ll t0 oo 
yvs0vvngxxNN	yv s0 vv ng xx nn 
yvthee	yv th ee 
